transaction_id,user_id,amount,transaction_type,device_type,location,time_of_day,transaction_hour,is_international,previous_transactions,failed_transactions,account_age_days,is_fraud,Date,Transaction Platform
T00158,U823,219044.41,online,desktop,London,morning,5,1,118,Yes,913,1,11/09/2017,GPay
T00159,U425,35708.37,transfer,mobile,London,afternoon,12,1,23,Yes,703,0,15/02/2020,Others
T00160,U815,227667.61,transfer,desktop,Pune,night,3,0,183,Yes,921,1,18/05/2023,BharatPe
T00161,U271,248086.73,transfer,desktop,Delhi,evening,18,0,49,Yes,76,1,13/09/2017,Paytm
T00162,U904,188371.84,online,mobile,Kolkata,morning,11,0,64,Yes,438,0,24/04/2020,GPay
T00163,U993,214631.78,ATM,mobile,London,morning,11,1,188,Yes,860,1,03/09/2022,Paytm
T00164,U907,252916.23,online,tablet,New York,afternoon,12,1,76,Yes,157,1,26/08/2019,Paytm
T00165,U581,32951.82,POS,desktop,Chennai,night,23,0,23,Yes,684,0,06/02/2017,Paytm
T00166,U703,92147.1,transfer,tablet,Mumbai,afternoon,15,0,71,Yes,255,0,05/06/2024,Paytm
T00167,U898,22477.79,transfer,tablet,Mumbai,night,0,0,21,Yes,966,1,23/01/2023,Paytm
T00168,U727,223376.02,ATM,desktop,London,afternoon,16,1,11,Yes,602,1,24/12/2019,Paytm
T00169,U366,77809.3,POS,tablet,Bangalore,night,22,0,149,Yes,475,0,30/08/2018,Paytm
T00170,U155,151439.27,POS,mobile,London,afternoon,14,1,189,Yes,850,1,12/08/2019,Paypal
T00171,U332,31241.54,online,desktop,Mumbai,night,3,0,113,Yes,592,0,10/06/2023,Paypal
T00172,U808,16603.87,transfer,tablet,Bangalore,morning,5,0,189,Yes,699,0,23/08/2018,PhonePe
T00173,U335,198151.27,ATM,desktop,Chennai,morning,10,0,5,Yes,422,1,18/03/2018,GPay
T00174,U474,226404.55,transfer,tablet,Pune,evening,20,0,157,Yes,732,0,21/02/2021,BharatPe
T00175,U842,167000.88,ATM,tablet,London,evening,20,1,158,Yes,927,1,13/12/2019,Paypal
T00176,U419,143367.97,online,tablet,New York,evening,20,1,140,Yes,972,1,11/09/2024,Others
T00177,U469,260026.14,online,mobile,Kolkata,morning,6,0,56,Yes,631,1,06/10/2021,Others
T00178,U737,82822.39,POS,mobile,Singapore,evening,17,1,33,No,919,0,15/11/2019,Others
T00179,U438,114601.34,online,mobile,Bangalore,evening,19,0,199,Yes,39,1,17/08/2022,GPay
T00180,U424,84105.78,transfer,mobile,Delhi,morning,9,0,153,Yes,442,0,08/10/2016,BharatPe
T00181,U409,1150.23,ATM,tablet,Bangalore,night,3,0,31,Yes,824,0,13/10/2017,Others
T00182,U206,114192.34,POS,tablet,Dubai,evening,18,1,145,Yes,508,1,06/05/2020,GPay
T00183,U105,285110.85,online,tablet,Mumbai,night,22,0,186,Yes,848,0,16/05/2016,Paytm
T00184,U683,82028.45,transfer,mobile,Mumbai,night,4,0,131,Yes,955,1,20/03/2020,Paytm
T00185,U918,107743.46,transfer,mobile,New York,night,22,1,139,Yes,915,1,28/07/2021,GPay
T00186,U644,284276.16,POS,tablet,Bangalore,night,3,0,57,Yes,570,1,14/03/2020,Paytm
T00187,U167,295475.85,POS,desktop,Mumbai,night,21,0,4,Yes,682,0,07/11/2020,PhonePe
T00188,U552,264133.05,ATM,tablet,Dubai,afternoon,12,1,162,No,784,1,01/06/2018,Paytm
T00189,U803,287997.36,transfer,mobile,Dubai,morning,5,1,192,Yes,667,1,16/04/2019,Others
T00190,U758,293928.63,ATM,mobile,Dubai,night,0,1,61,Yes,296,1,09/09/2020,GPay
T00191,U450,231178.06,POS,mobile,Dubai,afternoon,13,1,140,Yes,815,1,10/09/2017,Paytm
T00192,U538,4387.67,online,mobile,Mumbai,night,3,0,42,Yes,873,0,16/08/2016,GPay
T00193,U411,20201.64,online,tablet,Singapore,evening,18,1,10,Yes,642,0,09/07/2019,Paytm
T00194,U151,149185.26,transfer,desktop,Chennai,evening,20,0,127,Yes,738,0,06/07/2024,PhonePe
T00195,U980,241960.74,transfer,tablet,Pune,evening,18,0,70,Yes,215,0,07/05/2019,BharatPe
T00196,U683,165780.93,online,desktop,Mumbai,night,1,0,34,Yes,94,0,05/11/2022,GPay
T00197,U691,224456.56,ATM,mobile,Mumbai,evening,20,0,1,Yes,926,0,23/12/2024,Paytm
T00198,U454,288326.2,ATM,mobile,Dubai,evening,19,1,112,Yes,445,1,07/09/2024,Paypal
T00199,U333,186405.08,POS,tablet,Kolkata,night,2,0,32,Yes,509,1,18/03/2021,BharatPe
T00200,U228,129336.51,transfer,mobile,Delhi,afternoon,15,0,180,Yes,67,1,11/02/2020,PhonePe
T00201,U708,186367.74,ATM,tablet,London,morning,11,1,172,Yes,192,1,07/07/2025,GPay
T00202,U790,261082.54,POS,mobile,Delhi,morning,6,0,66,Yes,371,1,17/01/2025,BharatPe
T00203,U622,208707.5,transfer,tablet,Chennai,afternoon,12,0,145,Yes,263,1,20/02/2018,PhonePe
T00204,U229,204185.86,online,tablet,Mumbai,afternoon,12,0,61,Yes,483,1,24/12/2025,BharatPe
T00205,U591,241667.84,ATM,tablet,Bangalore,morning,10,0,133,Yes,815,1,02/05/2016,PhonePe
T00206,U503,112512.35,POS,mobile,Bangalore,night,3,0,48,Yes,934,0,27/10/2016,BharatPe
T00207,U446,33915.69,POS,desktop,Mumbai,afternoon,13,0,18,Yes,917,0,24/12/2018,Paypal
T00208,U277,173649.11,online,mobile,London,evening,18,1,147,No,317,1,24/12/2025,Paypal
T00209,U335,198013.42,transfer,desktop,Pune,night,21,0,143,Yes,682,1,28/05/2023,Others
T00210,U651,8704.95,ATM,tablet,Bangalore,night,2,0,10,Yes,950,0,23/09/2023,Others
T00211,U781,169226.14,online,desktop,Pune,evening,19,0,84,Yes,468,0,28/04/2023,BharatPe
T00212,U510,246340.71,POS,mobile,Chennai,afternoon,13,0,5,Yes,826,1,03/01/2017,PhonePe
T00213,U708,10979.33,online,mobile,Dubai,morning,11,1,45,Yes,902,0,09/02/2018,Others
T00214,U535,190461.04,ATM,tablet,Chennai,morning,10,0,135,No,214,0,20/09/2022,GPay
T00215,U242,104031.45,POS,desktop,London,evening,19,1,38,Yes,732,1,15/03/2021,GPay
T00216,U455,297895.54,online,desktop,Bangalore,afternoon,12,0,27,Yes,650,0,29/07/2017,PhonePe
T00217,U239,166957.29,ATM,desktop,Singapore,afternoon,16,1,6,Yes,345,1,27/07/2017,BharatPe
T00218,U625,229903.87,ATM,desktop,Mumbai,morning,9,0,176,Yes,83,1,22/05/2025,GPay
T00219,U439,148758.38,transfer,desktop,Mumbai,morning,6,0,46,Yes,444,1,06/03/2017,Paytm
T00220,U221,172327.31,ATM,desktop,Pune,night,0,0,69,Yes,220,1,24/04/2019,GPay
T00221,U457,209201.91,online,desktop,London,morning,7,1,81,Yes,434,1,30/11/2019,PhonePe
T00222,U754,63146.61,transfer,tablet,London,morning,8,1,149,Yes,707,0,09/11/2021,Paytm
T00223,U712,68984.78,POS,mobile,Singapore,morning,7,1,90,Yes,672,0,12/12/2022,Others
T00224,U195,69947.81,online,mobile,Delhi,afternoon,16,0,151,Yes,788,1,13/06/2023,BharatPe
T00225,U338,89872.98,POS,tablet,London,evening,18,1,25,Yes,600,0,07/03/2018,Paypal
T00226,U591,199575.77,ATM,mobile,Delhi,afternoon,16,0,123,Yes,754,1,05/07/2020,GPay
T00227,U318,285737.82,online,desktop,London,afternoon,16,1,35,Yes,700,1,19/10/2022,Others
T00228,U542,182666.33,POS,mobile,Bangalore,night,21,0,191,Yes,37,1,29/11/2023,Paypal
T00229,U845,286876.69,online,mobile,Dubai,morning,5,1,83,Yes,757,1,27/03/2025,Paypal
T00230,U794,139058.38,transfer,desktop,Singapore,morning,10,1,70,Yes,273,1,24/08/2023,Paytm
T00231,U496,175966.29,transfer,desktop,Dubai,afternoon,13,1,99,Yes,294,1,24/10/2020,BharatPe
T00232,U505,28893.27,transfer,tablet,Pune,afternoon,14,0,19,No,81,0,02/01/2021,PhonePe
T00233,U290,115115.16,POS,desktop,Mumbai,morning,10,0,74,No,331,0,25/07/2020,PhonePe
T00234,U948,147987.99,transfer,desktop,Dubai,night,4,1,67,Yes,381,1,04/08/2024,BharatPe
T00235,U794,171018.04,online,mobile,Pune,afternoon,13,0,74,Yes,688,0,03/08/2016,Others
T00236,U863,257047.94,POS,tablet,Chennai,night,4,0,132,Yes,897,1,14/06/2024,Paypal
T00237,U479,117709.38,transfer,desktop,Chennai,night,22,0,163,Yes,865,0,11/06/2022,BharatPe
T00238,U346,182169.72,ATM,mobile,New York,evening,19,1,108,Yes,132,1,22/02/2025,Paypal
T00239,U536,14566.18,ATM,desktop,Delhi,evening,19,0,44,No,744,0,05/05/2023,Paypal
T00240,U320,112337.47,ATM,tablet,London,afternoon,16,1,113,Yes,49,1,17/10/2017,Paytm
T00241,U498,117859.71,transfer,mobile,Singapore,morning,5,1,3,Yes,547,1,15/05/2020,Paytm
T00242,U796,255672.97,POS,desktop,Dubai,afternoon,14,1,55,Yes,41,1,16/03/2023,GPay
T00243,U612,262402.39,ATM,mobile,Dubai,night,21,1,194,Yes,432,1,24/08/2023,Paypal
T00244,U611,132833.16,online,tablet,Pune,morning,9,0,94,Yes,886,1,26/05/2020,PhonePe
T00245,U573,48100.56,POS,mobile,Dubai,morning,10,1,119,Yes,754,0,19/11/2021,Paytm
T00246,U393,234269.21,transfer,tablet,Singapore,night,21,1,1,Yes,936,1,16/05/2017,Others
T00247,U884,146451.87,transfer,desktop,Dubai,morning,5,1,66,Yes,335,1,22/08/2021,Others
T00248,U319,245828.91,transfer,tablet,Bangalore,evening,18,0,142,Yes,337,1,14/08/2020,PhonePe
T00249,U314,168605.98,online,tablet,Pune,evening,17,0,174,Yes,98,1,17/08/2022,BharatPe
T00250,U269,105745.46,online,desktop,Delhi,morning,7,0,193,Yes,385,1,01/04/2023,PhonePe
T00251,U506,77711.28,transfer,desktop,Mumbai,afternoon,12,0,187,Yes,996,0,27/11/2023,BharatPe
T00252,U271,171011.45,transfer,tablet,Pune,night,23,0,30,Yes,444,0,10/07/2018,BharatPe
T00253,U167,221463.98,POS,mobile,New York,night,4,1,144,Yes,452,1,12/10/2025,Others
T00254,U137,181391.53,POS,desktop,Chennai,night,1,0,147,Yes,73,1,25/11/2025,Others
T00255,U179,284228.76,online,mobile,Kolkata,evening,17,0,116,No,920,0,07/03/2017,GPay
T00256,U806,192830.54,POS,mobile,New York,morning,8,1,111,No,97,1,09/01/2023,Paypal
T00257,U860,108455.11,transfer,tablet,Pune,night,23,0,108,Yes,424,1,22/06/2020,Others
T00258,U786,95297.13,POS,mobile,London,afternoon,12,1,86,Yes,516,0,11/05/2022,Others
T00259,U239,271663.96,ATM,tablet,New York,night,23,1,3,Yes,858,1,29/01/2022,BharatPe
T00260,U865,57533.37,ATM,desktop,London,night,1,1,70,Yes,298,0,18/07/2025,BharatPe
T00261,U181,131057.96,POS,tablet,Delhi,night,0,0,124,Yes,386,0,11/01/2022,BharatPe
T00262,U411,285004.15,online,mobile,London,night,3,1,2,Yes,619,1,16/06/2018,Paypal
